chainId,chainName,chainLogoURI,day1TxCount,day2TxCount,day3TxCount,day4TxCount,day5TxCount,day6TxCount,day7TxCount,weeklyTxCount,weeklyContractsDeployed,weeklyActiveAddresses
710420,"Tiltyard L1","https://images.ctfassets.net/gcj8jwzm6086/5iZkicfOvjuwJYQqqCQN4y/9bdb761652d929459610c8b2da862cd5/android-chrome-512x512.png",89,293,301,373,203,212,212,1683,0,2
84358,"TITAN L1","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",0,0,0,0,0,0,0,0,0,0
13790,"TixChain","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",0,6,84,0,0,0,0,90,7,84
21024,"TradeX Markets","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",72,2,2,16,1,0,3,96,0,2
6119,"UPTN","https://images.ctfassets.net/gcj8jwzm6086/5jmuPVLmmUSDrfXxbIrWwo/4bdbe8d55b775b613156760205d19f9f/symbol_UPTN_-_js_won.png",4490,17423,18762,18351,19288,17583,16751,112648,0,159
40875,"v1migrate","",0,0,0,0,0,0,0,0,0,0
98968,"wow","",0,0,0,0,0,0,0,0,0,0
26935,"ww1217t1ms","",0,0,0,0,0,0,0,0,0,0
8888,"xanachain","",0,0,0,0,0,0,0,0,0,0
27827,"zeroone Mainnet L1","https://images.ctfassets.net/gcj8jwzm6086/1lOFyhAJ0JkDkAmpeCznxL/c83287a3c03f8c2c1477e0c4379c98d4/HINDW3Tu_400x400.jpg",135,698,614,717,517,545,701,3927,337,373
